Date,Open,High,Low,Close,Volume
40198,30.701429,30.792856,29.928572,30.247143,153038200
40199,30.297142,30.472857,29.601429,29.724285,152038600
40200,29.540001,29.642857,28.165714,28.25,220441900
40203,28.93,29.242857,28.598572,29.01,266424900
40204,29.421429,30.530001,28.940001,29.42,466777500
40205,29.549999,30.082857,28.504286,29.697144,430642100
40206,29.275715,29.357143,28.385714,28.469999,293375600
40207,28.725714,28.885714,27.178572,27.437143,311488100
40210,27.481428,28,27.328571,27.818571,187469100
40211,27.987143,28.045713,27.625713,27.98,174585600
40212,27.881428,28.6,27.774286,28.461428,153832000
40213,28.104286,28.338572,27.367144,27.435715,189413000
40214,27.518572,28,27.264286,27.922857,212576700
40217,27.955715,28.268572,27.714285,27.731428,119567700
40218,28.059999,28.214285,27.821428,28.027143,158221700
40219,27.984285,28.085714,27.751429,27.874287,92590400
40220,27.84,28.535715,27.722857,28.381428,137586400
40221,28.301428,28.805714,27.928572,28.625713,163867200
40225,28.848572,29.098572,28.788572,29.057142,135934400
40226,29.17,29.187143,28.694286,28.935715,109099200
40227,28.804285,29.127142,28.702858,28.99,105706300
40228,28.837143,29.028572,28.73,28.809999,103867400
40231,28.905714,28.928572,28.455715,28.631428,97640900
40232,28.571428,28.761429,27.95857,28.151428,143773700
40233,28.318571,28.777143,28.262857,28.665714,115141600
40234,28.197144,28.98,28.127142,28.857143,166281500
40235,28.911428,29.309999,28.857143,29.231428,126865200
40238,29.392857,29.928572,29.35,29.855715,137523400
40239,29.99,30.118572,29.677143,29.835714,141636600
40240,29.848572,29.981428,29.705715,29.904285,93013200
40241,29.897142,30.131428,29.804285,30.101429,91510300
40242,30.705715,31.385714,30.661428,31.278572,224905100
40245,31.43,31.441429,31.178572,31.297142,107472400
40246,31.187143,32.142857,31.127142,31.860001,230064800
40247,31.975714,32.21143,31.885714,32.119999,149054500
40248,31.987143,32.214287,31.902857,32.214287,101425100
40249,32.48143,32.532856,32.25,32.371429,104080900
40252,32.197144,32.214287,31.464285,31.977142,123375700
40253,32.025715,32.139999,31.787144,32.064285,111727000
40254,32.128571,32.349998,31.895714,32.017143,112739200
40255,32.014286,32.142857,31.801428,32.092857,85527400
40256,32.112858,32.177143,31.604286,31.75,139861400
40259,31.495714,32.285713,31.450001,32.107143,114104900
40260,32.234287,32.682858,32.014286,32.622856,150607800
40261,32.52,32.885715,32.501427,32.767143,149445100
